Gene ID	Human associated gene name	Human gene stable ID
ENSMUSG00000064372		
ENSMUSG00000064371		
ENSMUSG00000064370	MT-CYB	ENSG00000198727
ENSMUSG00000064369		
ENSMUSG00000064368	MT-ND6	ENSG00000198695
ENSMUSG00000064367	MT-ND5	ENSG00000198786
ENSMUSG00000064366		
ENSMUSG00000064365		
ENSMUSG00000064364		
ENSMUSG00000064363	MT-ND4	ENSG00000198886
ENSMUSG00000065947	MT-ND4L	ENSG00000212907
ENSMUSG00000064361		
ENSMUSG00000064360	MT-ND3	ENSG00000198840
ENSMUSG00000064359		
ENSMUSG00000064358	MT-CO3	ENSG00000198938
ENSMUSG00000064357	MT-ATP6	ENSG00000198899
ENSMUSG00000064356	MT-ATP8	ENSG00000228253
ENSMUSG00000064355		
ENSMUSG00000064354	MT-CO2	ENSG00000198712
ENSMUSG00000064353		
ENSMUSG00000064352		
ENSMUSG00000064351	MT-CO1	ENSG00000198804
ENSMUSG00000064350		
ENSMUSG00000064349		
ENSMUSG00000064348		
ENSMUSG00000064347		
ENSMUSG00000064346		
ENSMUSG00000064345	MT-ND2	ENSG00000198763
ENSMUSG00000064344		
ENSMUSG00000064343		
ENSMUSG00000064342		
ENSMUSG00000064341	MT-ND1	ENSG00000198888
ENSMUSG00000064340		
ENSMUSG00000064339		
ENSMUSG00000064338		
ENSMUSG00000064337		
ENSMUSG00000064336		
ENSMUSG00000098458		
ENSMUSG00000087769	RNU7-155P	ENSG00000238759
ENSMUSG00000041534	RBP3	ENSG00000265203
ENSMUSG00000091041		
ENSMUSG00000096239		
ENSMUSG00000068466		
ENSMUSG00000024645	TIMM21	ENSG00000075336
ENSMUSG00000077199	SNORA17A	ENSG00000274998
ENSMUSG00000077201		
ENSMUSG00000039193	NLRC4	ENSG00000091106
ENSMUSG00000089074	RNU6-1301P	ENSG00000199594
ENSMUSG00000077185	SNORD102	ENSG00000207500
ENSMUSG00000024910	CTSW	ENSG00000172543
ENSMUSG00000045776	LRTM1	ENSG00000144771
ENSMUSG00000041840	HAUS1	ENSG00000152240
ENSMUSG00000019907	PPP1R12A	ENSG00000058272
ENSMUSG00000065329	RNU1-115P	ENSG00000202199
ENSMUSG00000096915		
ENSMUSG00000049295	ZNF219	ENSG00000165804
ENSMUSG00000106175		
ENSMUSG00000077315		
ENSMUSG00000094567		
ENSMUSG00000074026		
ENSMUSG00000042895	ABRA	ENSG00000174429
ENSMUSG00000024758	RTN3	ENSG00000133318
ENSMUSG00000040632	NRL	ENSG00000129535
ENSMUSG00000088781		
ENSMUSG00000076163		
ENSMUSG00000024074	CRIM1	ENSG00000150938
ENSMUSG00000093849		
ENSMUSG00000084600		
ENSMUSG00000098970	RNU7-155P	ENSG00000238759
ENSMUSG00000089054	RNU6-629P	ENSG00000206788
ENSMUSG00000084732		
ENSMUSG00000088138		
ENSMUSG00000100909		
ENSMUSG00000098328	SMAD5-AS1_4	ENSG00000274934
ENSMUSG00000042705	COMMD10	ENSG00000145781
ENSMUSG00000095734	SNORD116-1	ENSG00000207063
ENSMUSG00000095734	SNORD116-8	ENSG00000207093
ENSMUSG00000095734	SNORD116-7	ENSG00000207133
ENSMUSG00000095734	SNORD116-3	ENSG00000207014
ENSMUSG00000095734	SNORD116-2	ENSG00000207001
ENSMUSG00000095734	SNORD116-9	ENSG00000206727
ENSMUSG00000095734	SNORD116-5	ENSG00000207191
ENSMUSG00000095734	SNORD116-6	ENSG00000207442
ENSMUSG00000095734	SNORD116-4	ENSG00000275529
ENSMUSG00000093254		
ENSMUSG00000019905	GPRC6A	ENSG00000173612
ENSMUSG00000095447		
ENSMUSG00000022203	EFS	ENSG00000100842
ENSMUSG00000065563		
ENSMUSG00000064620	SNORA32	ENSG00000206776
ENSMUSG00000064620	SNORA32	ENSG00000206799
ENSMUSG00000088428	RNA5SP402	ENSG00000252957
ENSMUSG00000088428	RNA5SP244	ENSG00000212238
ENSMUSG00000088468		
ENSMUSG00000076216		
ENSMUSG00000098626	DLEU2_6	ENSG00000276884
ENSMUSG00000098626	DLEU2_6	ENSG00000274647
ENSMUSG00000098626	DLEU2_6	ENSG00000275559
ENSMUSG00000000365	RNF17	ENSG00000132972
ENSMUSG00000077495		
ENSMUSG00000065319		
ENSMUSG00000037031	TSPAN15	ENSG00000099282
ENSMUSG00000084511		
ENSMUSG00000106195		
ENSMUSG00000089605		
ENSMUSG00000020547	BZW2	ENSG00000136261
ENSMUSG00000084505	RNU6-287P	ENSG00000252039
ENSMUSG00000077021		
ENSMUSG00000089576		
